Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
1Y3hTQXWblc,Doy clases los jueves no cobro mucho  #leagueoflegends   #lol  #gaming  #memes    #funnymemesvideos,"Oct 19, 2024",26,509,1.8156,2,149,2.01
DjPRh64m40g,Etiqueten a su terroncito   #leagueoflegends  #lol  #gaming  #humor  #memes  #xd,"Jul 10, 2024",5,491,1.0782,0,140,0
4SjHLK1_wuI,Si soy  #leagueoflegends  #lol  #gaming  #humor  #memes  #xd #games #gamer,"Jul 17, 2024",8,475,1.2952,1,160,1.88
AXTMeL3KbXs,Me dicen el gran chambeador   #leagueoflegends   #lol  #gaming  #memes  #humor  #funnymemes,"Aug 24, 2024",11,466,1.2526,1,490,3.06
RwOaTmID_w0,Jugadas con el greñas en el superserver de lan  #leagueoflegends  #lol  #gaming   #highlights,"May 18, 2024",58,450,5.3416,0,185,1.62
bOeXFzMvH0U,They Are Billions | Campaña | 800% Dificultad Maxima | El valle Escondido | Cap 1 | Español,"Oct 14, 2022",2038,437,24.7597,4,1974,10.28
IbhrCYrwbcs,"🎮 Llegará el día que deje de jugar LoL , pero de mientras seguiré jugando LoL","Aug 4, 2025",16,380,0.4055,0,91,2.2
s44I37-1OBs,Con razón no salgo de esmeralda #leagueoflegends   #lol  #humor #internetmemes #memescortos,"Oct 26, 2024",8,350,0.984,0,757,1.72
giR82lmvjiw,"sigan ladrando los perros, señal que voy avanzando #leagueoflegends #humor","Jun 7, 2025",13,342,0.3017,0,160,0
BuqldpfKQDE,They Are Billions | Campaña | 800% Dificultad Maxima | Enjambre 1/ Costa de los huesos | Cap 06 |Esp,"Dec 9, 2022",4549,319,49.8323,2,2833,7.09
MLogGDE2Dso,Frostpunk | El Ultimo Otoño | Guia | Superviviente | Generador Completo | Sin muertes #1,"Nov 22, 2023",2791,318,27.7679,0,5541,4.48
xZVWraEdCIs,🎮 Si es mi adc 👉 Sígueme en Twitch y YouTube: @elchilakas,"Aug 5, 2025",16,299,0.2281,0,35,0
xzpCWTCV5Ks,They Are Billions | Campaña | 800% Dificultad Maxima | El lago helado | Cap 10 | Español,"Feb 4, 2023",4850,282,26.6861,1,5253,3.58
yV_f5bvYZ6w,They Are Billions | Campaña | 800% Dificultad Maxima | Las Minas Del Cuervo | Cap 07 | Español,"Dec 30, 2022",4298,251,30.8359,1,3369,4.57
dT0XL8kvDXw,🎮 Nunca he visto tanto dinero junto 🔴 Descarga mi App GRATIS! link en la bio.,"Sep 7, 2025",31,247,0.1964,0,57,0
pVogFTSd4Lw,CEO de Chilakas Enterprises  #leagueoflegends   #lol  #gaming  #memes  #humor  #funnymemesvideos,"Nov 9, 2024",7,244,0.9187,0,432,0.69
HxFcW-sPzGQ,They Are Billions | Campaña | 800% Dificultad Maxima | La Diosa Del Destino | Cap FINAL |  Español,"Oct 13, 2023",13413,241,42.961,0,4498,4
9Y2nmm80WHc,asies con las de rocio durcal salen los insects #leagueoflegends  #lol  #gaming  #humor  #memes,"May 16, 2024",18,214,0.6393,0,2956,0.44
cok9i7koWJg,They Are Billions | Campaña | 800% Dificultad Maxima | El Bosque Ponsoñoso|Completo|Cap 25 | Español,"Aug 4, 2023",6319,211,19.1973,0,5538,2.64
e8hakEqYD3c,They Are Billions | Campaña | 800% Dificultad Maxima | La encrucijada | Cap 05 | Español,"Dec 2, 2022",2440,197,14.3942,0,2385,4.86
zeYBaAYf1yk,They Are Billions | Campaña | 800% Dificultad Maxima | El prado del cazador | Cap 3 | Español,"Oct 27, 2022",2962,173,26.9365,2,2006,5.38
_6RUSF5A3xA,They Are Billions | Campaña | 800% Dificultad Maxima | El Bosque Prohíbido | Cap 31 |  Español,"Sep 10, 2023",5378,172,21.3251,1,10252,1.42
TIPCwZqM0RE,They Are Billions | Campaña | 800% Dificultad Maxima | Las tierras del gigante | Cap 09 | Español,"Jan 27, 2023",4365,169,19.2588,0,1991,5.07
KiLrSOSnqlA,They Are Billions | Campaña | 800% Dificultad Maxima | Enjambre 2 | Cap 08 | Español,"Jan 21, 2023",2301,165,6.9521,0,1753,5.99
8NNMhlyGi9M,They Are Billions | Campaña | 800% Dificultad Maxima | La Tierra Quebrada | Cap 30 |  Español,"Sep 4, 2023",5721,149,12.799,0,7391,1.54
gWSfZ83JsHM,They Are Billions | Campaña | 800% Dificultad Maxima | Enjambres y más enjambres | Cap 21 | Español,"May 1, 2023",1084,147,4.53,1,4860,2.26
 -LSxHyUq1rc,They Are Billions | Campaña | 800% Dificultad Maxima | Parámo de los Gigantes| #2 | Cap 27 | Español,"Aug 15, 2023",4589,143,8.6495,0,9442,1.17
eUFZy8s0sm4,They Are Billions | Campaña | 800% Dificultad Maxima | Las tierras bajas| Cap 14 | Español,"Mar 10, 2023",5165,141,28.0022,1,2856,2.77
